track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,bpm,key,mode,danceability%,positiveness%,energy%,acousticness%,instrumentalness%,liveness%,speechness%,clean_track_name,clean_artist_name,youtube_title,youtube_artist,publish_date,views,likes,video_url,youtube_source,clean_title_YT
2 faces,305729,Mark Tuan,spotify:track:3I7s9xEyLFWbEDtsv7vYt3,DREAMERS N ACHIEVERS,58,58,-1,1,140.0,D,Major,73,66,45,12,1,34,3,2faces,marktuan,Mark Tuan - 2 faces (Official Audio),Mark Tuan,2022-08-28 00:54:12+00:00,975526,13705,https://www.youtube.com/watch?v=p_gseVMHooo,Mark Tuan,marktuan2facesofficialaudio
2 soon,6235563,keshi,spotify:track:5SlU0Yhi51jobhEiGE4xDv,keshi,97,97,-1,103,174.0,F#,Minor,52,15,66,15,0,32,4,2soon,keshi,2 soon,keshi - Topic,2023-03-31 10:08:04+00:00,17506051,97873,https://www.youtube.com/watch?v=LKZyp2cSAy4,keshi - Topic,2soon
20cm,352413,TOMORROW X TOGETHER,spotify:track:5TxtM4vmk6pXpgq8lJtvB0,Republic Records - TXT,100,100,-1,5,137.0,F#,Minor,66,61,55,3,0,18,3,20cm,tomorrowxtogether,20cm,TOMORROW X TOGETHER - Topic,2019-10-21 12:34:05+00:00,11936932,103009,https://www.youtube.com/watch?v=vKOOoji5aAg,TOMORROW X TOGETHER - Topic,20cm
22 (Taylor's Version),67089,Taylor Swift,spotify:track:3yII7UwgLF6K5zW3xad3MP,Taylor Swift,120,120,-1,1,104.0,G,Major,66,67,73,0,0,5,4,22taylorsversion,taylorswift,Taylor Swift - 22 (Taylor's Version) (Lyric Video),TaylorSwiftVEVO,2021-11-12 05:00:04+00:00,13461783,285475,https://www.youtube.com/watch?v=9boiT64sm0Q,TaylorSwiftVEVO,taylorswift22taylorsversionlyricvideo
24/7,1128096,"Celina Sharma, Harris J.",spotify:track:304uzYXYjPulJpLRJzuesX,Mugal Records,68,68,-1,15,108.0,A#,Major,71,38,64,39,0,7,7,247,celinasharmaharrisj,Celina Sharma & Harris J - 24/7 (Lyrics),Dan Music,2021-11-01 13:15:03+00:00,19672904,80557,https://www.youtube.com/watch?v=qYkSyu3yY7g,Dan Music,celinasharmaharrisj247lyrics
"24/7, 365",939006,elijah woods,spotify:track:05QUYSOApWLr8oBbpONl7p,elijah woods,176,176,-1,6,150.0,F#,Major,66,41,55,20,0,12,4,247365,elijahwoods,"elijah woods - 24/7, 365 (official lyric video)",elijahwoodsVEVO,2023-07-28 14:00:08+00:00,47351011,212609,https://www.youtube.com/watch?v=-h_yBTriuaY,elijahwoodsVEVO,elijahwoods247365officiallyricvideo
247,7856246,LUSS,spotify:track:7AQFhodzN09DtXGiIDtFrd,WM/Thailand,21,21,-1,67,93.0,G,Major,71,57,45,73,0,9,21,247,luss,Celina Sharma & Harris J - 24/7 (Lyrics),Dan Music,2021-11-01 13:15:03+00:00,19672904,80557,https://www.youtube.com/watch?v=qYkSyu3yY7g,Dan Music,celinasharmaharrisj247lyrics
26,52770,Lauv,spotify:track:0du67LyuJeUjQChxl8rTa8,Lauv,199,199,-1,1,164.0,F#,Major,64,51,46,81,0,24,9,26,lauv,Lauv - 26 [Official Video],Lauv,2022-02-10 17:00:10+00:00,1973705,48544,https://www.youtube.com/watch?v=FHtQrPX_JpY,Lauv,lauv26officialvideo
28 Reasons,190574,SEULGI,spotify:track:1dfsPqH09vnzUWEOsN98Ex,SM Entertainment,128,128,-1,2,122.0,F,Minor,77,49,65,21,0,14,10,28reasons,seulgi,SEULGI 슬기 '28 Reasons' MV,SMTOWN,2022-10-04 09:00:07+00:00,30122949,1019373,https://www.youtube.com/watch?v=G_BYjnopO6U,SMTOWN,seulgi28reasonsmv
2AM (คุณเคยรักใครมากๆมั้ย?),2765081,"Saran, BlackHeart, Rifle",spotify:track:50D7ptFXhgR9GZ9g7G20SF,SARAN,47,47,-1,8,140.0,A#,Major,86,36,38,84,0,14,8,2amคุณเคยรักใครมากๆมั้ย,saranblackheartrifle,SARAN x BlackHeart - 2AM (คุณเคยรักใครมาก ๆ มั้ย) Feat. RIFLE,SARAN,2024-10-29 19:00:06+00:00,4617347,55039,https://www.youtube.com/watch?v=To7VFscs-bY,SARAN,saranxblackheart2amคุณเคยรักใครมากๆมั้ยfeatrifle
2Drunk,46270,Nick Jonas,spotify:track:33o0xXMPY41CWwDTnxyM5Z,Island Records,194,194,-1,1,156.0,F#,Major,65,61,80,3,0,20,18,2drunk,nickjonas,Nick Jonas - 2Drunk (Lyric Video),NickJonasVEVO,2021-03-13 00:00:02+00:00,1560801,14156,https://www.youtube.com/watch?v=82DWx_1CJIo,NickJonasVEVO,nickjonas2drunklyricvideo
2U,110467,KANGDANIEL,spotify:track:00S4PrcWUb3f3dQ9PuC0uy,KONNECT Ent.,91,91,-1,2,96.0,D,Major,72,56,74,4,0,10,7,2u,kangdaniel,강다니엘(KANGDANIEL) - 2U M/V,강다니엘 KANGDANIEL,2020-03-24 09:00:08+00:00,8435129,361391,https://www.youtube.com/watch?v=GmqfRBaJm6I,강다니엘 KANGDANIEL,kangdaniel2umv
3 Nights,30996,Dominic Fike,spotify:track:1tNJrcVe6gwLEiZCtprs1u,Columbia,149,149,-1,1,152.0,G,Minor,82,88,52,22,0,10,9,3nights,dominicfike,Dominic Fike - 3 Nights (Official Video),DominicFikeVEVO,2019-04-04 21:00:05+00:00,52103262,625721,https://www.youtube.com/watch?v=OWKzRngush4,DominicFikeVEVO,dominicfike3nightsofficialvideo
34+35,11061190,Ariana Grande,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Republic Records,8,8,-1,90,110.0,C,Major,83,48,58,24,0,25,9,3435,arianagrande,Ariana Grande - 34+35 (official video),ArianaGrandeVevo,2020-11-17 17:00:03+00:00,323294578,5168334,https://www.youtube.com/watch?v=B6_iQvaIjXw,ArianaGrandeVevo,arianagrande3435officialvideo
365,286755,"Zedd, Katy Perry",spotify:track:2XWjPtKdi5sucFYtVav07d,Interscope Records,41,41,-1,6,98.0,D,Minor,74,25,69,34,0,12,3,365,zeddkatyperry,"elijah woods - 24/7, 365 (official lyric video)",elijahwoodsVEVO,2023-07-28 14:00:08+00:00,47351011,212609,https://www.youtube.com/watch?v=-h_yBTriuaY,elijahwoodsVEVO,elijahwoods247365officiallyricvideo
3D (feat. Jack Harlow),75271346,"Jung Kook, Jack Harlow",spotify:track:01qFKNWq73UfEslI0GvumE,BIGHIT MUSIC,2,2,-1,67,108.0,C#,Major,85,89,82,3,0,9,10,3dfeatjackharlow,jungkookjackharlow,정국 (Jung Kook) '3D (feat. Jack Harlow)' Official MV,HYBE LABELS,2023-09-29 04:00:01+00:00,213915704,4822688,https://www.youtube.com/watch?v=mHNCM-YALSA,HYBE LABELS,jungkook3dfeatjackharlowofficialmv
3am,273678,ROSÉ,spotify:track:3y4q6bBdbXsTIaPiwiiUfy,Atlantic Records,134,134,-1,1,150.0,D,Major,60,32,65,37,0,14,4,3am,ros,ROSÉ - 3am (official audio),ROSÉ,2024-12-06 05:00:16+00:00,4396036,175753,https://www.youtube.com/watch?v=OzdJFXyO8ts,ROSÉ,ros3amofficialaudio
7 Days,261051,NCT DREAM,spotify:track:0nsL0AalAUFNCi7DYhnihQ,SM Entertainment,52,52,-1,3,100.0,F#,Minor,74,63,89,15,0,12,8,7days,nctdream,내게 말해줘 7 Days,NCT DREAM - Topic,2020-04-29 09:12:50+00:00,8733925,131377,https://www.youtube.com/watch?v=l1vl8dENUDw,NCT DREAM - Topic,7days
7 Minutes,43659,Dean Lewis,spotify:track:2BkyYZmU4JuWW2sYi9EzpC,Universal Music Australia Pty. Ltd.,187,187,-1,2,105.0,A#,Major,61,71,74,53,0,15,3,7minutes,deanlewis,Dean Lewis - 7 Minutes (Lyrics),Gold Coast Music,2019-01-17 21:44:28+00:00,18560415,81251,https://www.youtube.com/watch?v=HgukE6kfhBU,Gold Coast Music,deanlewis7minuteslyrics
7 rings,6464343,Ariana Grande,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Republic Records,1,1,-1,79,140.0,C#,Minor,78,33,32,59,0,9,33,7rings,arianagrande,Ariana Grande - 7 rings (Official Video),ArianaGrandeVevo,2019-01-18 04:57:49+00:00,1462967843,16290867,https://www.youtube.com/watch?v=QYh6mYIJG2Y,ArianaGrandeVevo,arianagrande7ringsofficialvideo
7YUPP,52452,"MILLI, Maiyarap, LAZYLOXY, AUTTA, Ben Bizzy, NAMEMT, Blacksheep",spotify:track:1vIHINaKCeFYHHHkyLpxQW,Yupp! Entertainment,189,189,-1,1,159.0,C#,Major,78,51,66,9,0,11,34,7yupp,millimaiyaraplazyloxyauttabenbizzynamemtblacksheep,"7YUPP - MILLI, MAIYARAP, LAZYLOXY, AUTTA, BEN BIZZY, NAMEMT, BLACKSHEEP | YUPP!",YUPP!,2020-12-17 11:00:12+00:00,6281692,89559,https://www.youtube.com/watch?v=w1LXjKL0J84,YUPP!,7yuppmillimaiyaraplazyloxyauttabenbizzynamemtblacksheepyupp
9 and Three Quarters (Run Away),365958,TOMORROW X TOGETHER,spotify:track:2MsNSKQNQNRklkKFxxvIav,Republic Records - TXT,66,66,-1,6,129.0,C#,Major,64,53,76,1,0,13,6,9andthreequartersrunaway,tomorrowxtogether,9 and Three Quarters (Run Away),STONE,2021-05-26 08:01:00+00:00,82807,1358,https://www.youtube.com/watch?v=E8301Go1rI0,STONE,9andthreequartersrunaway
90's Love,1523084,NCT U,spotify:track:64EDGnUytmCV7TfOo67810,SM Entertainment,37,37,-1,17,108.0,C#,Minor,74,70,92,7,0,11,6,90slove,nctu,NCT U 엔시티 유 '90's Love' MV,SMTOWN,2020-11-23 09:00:02+00:00,145511029,2750842,https://www.youtube.com/watch?v=A5H8zBb3iao,SMTOWN,nctu90slovemv
= (Equal Sign),390033,j-hope,spotify:track:70XnKsO3UnIT4FnEwChQXx,BIGHIT MUSIC,43,43,-1,3,106.0,A,Major,67,71,75,2,0,35,7,equalsign,jhope,j-hope '= (Equal Sign)' Visualizer,BANGTANTV,2022-07-21 04:00:13+00:00,4565362,352128,https://www.youtube.com/watch?v=_hNuNiNhcI4,BANGTANTV,jhopeequalsignvisualizer
A Brand New Day (BTS World Original Soundtrack) (Pt. 2),250143,"BTS, Zara Larsson",spotify:track:5XkyZyKMdFungjDb9cUKc3,BIGHIT MUSIC,26,26,-1,4,105.0,G#,Minor,80,71,50,34,0,18,6,abrandnewdaybtsworldoriginalsoundtrackpt2,btszaralarsson,A Brand New Day (BTS World Original Soundtrack) (Pt. 2),BTS - Topic,2023-07-01 04:04:05+00:00,1568857,53849,https://www.youtube.com/watch?v=FQ24AlLkzCc,BTS - Topic,abrandnewdaybtsworldoriginalsoundtrackpt2
A Rocket to the Moon,17998045,GAVIN:D,spotify:track:4Tp1SRCTJ6LO8XA3i9vuAT,Gavin D,9,9,-1,117,148.0,D,Major,63,11,44,36,0,12,3,arockettothemoon,gavind,GAVIN.D - A ROCKET TO THE MOON「Official MV」,GAVIN:D,2019-11-12 04:29:51+00:00,169983740,1263360,https://www.youtube.com/watch?v=3aCctY3DGac,GAVIN:D,gavindarockettothemoonofficialmv
A Whole New World,98975,"Mena Massoud, Naomi Scott",spotify:track:5viFjDGTnrApmUY5c8qkfw,Walt Disney Records,136,136,-1,3,121.0,C,Major,40,13,38,22,0,14,3,awholenewworld,menamassoudnaomiscott,"ZAYN, Zhavia Ward - A Whole New World (End Title) (From ""Aladdin"")",DisneyMusicVEVO,2019-05-09 12:30:02+00:00,321477952,4219367,https://www.youtube.com/watch?v=rg_zwK_sSEY,DisneyMusicVEVO,zaynzhaviawardawholenewworldendtitlefromaladdin
"A Whole New World (End Title) - From ""Aladdin""",619113,"ZAYN, Zhavia",spotify:track:1iWHabUgUuuKLBa0TzTHfk,Walt Disney Records,16,16,-1,10,111.0,D,Major,30,10,41,6,0,9,3,awholenewworldendtitlefromaladdin,zaynzhavia,"ZAYN, Zhavia Ward - A Whole New World (End Title) (From ""Aladdin"")",DisneyMusicVEVO,2019-05-09 12:30:02+00:00,321477952,4219367,https://www.youtube.com/watch?v=rg_zwK_sSEY,DisneyMusicVEVO,zaynzhaviawardawholenewworldendtitlefromaladdin
A little thing,347822,Peck Palitchoke,spotify:track:0aaASxHyUk8kCiID0f0cNE,GMM Music Public Company Limited,50,50,-1,3,83.0,F,Major,74,42,45,62,0,9,10,alittlething,peckpalitchoke,A Little Thing - เป๊ก ผลิตโชค  [Official MV],OfficialWhiteMusic,2020-05-28 13:00:27+00:00,4480710,32985,https://www.youtube.com/watch?v=YLkDAKD6uNQ,OfficialWhiteMusic,alittlethingเป๊กผลิตโชคofficialmv
ABCD,189485,NAYEON,spotify:track:53rB05bAi7JdNbUfgz72I1,Republic Records – NAYEON (TWICE),200,200,-1,1,106.0,D#,Minor,68,86,93,4,0,19,6,abcd,nayeon,"NAYEON ""ABCD"" M/V",JYP Entertainment,2024-06-14 03:58:09+00:00,56480333,1552846,https://www.youtube.com/watch?v=oUZttxRcPZw,JYP Entertainment,nayeonabcdmv
AH YEAH,73591,WINNER,spotify:track:2EhvCzRw0C7anZHsj284oX,YG Entertainment,92,92,-1,2,128.0,G,Major,80,88,72,36,0,18,4,ahyeah,winner,WINNER - 'AH YEAH (아예)' M/V,WINNER,2019-05-15 09:00:11+00:00,28083375,887821,https://www.youtube.com/watch?v=Pm0_G8Zl0ek,WINNER,winnerahyeahmv
ALICE,5390267,QLER,spotify:track:4nimbIVI2u2XUD70c1dOBu,What The Duck,70,70,-1,27,90.0,B,Major,65,56,64,5,1,10,3,alice,qler,QLER - ALICE [Official MV],Whattheduck,2023-07-17 12:00:10+00:00,5532223,39173,https://www.youtube.com/watch?v=p0_LEZ6nlK4,Whattheduck,qleraliceofficialmv
AMYGDALA,422231,Agust D,spotify:track:5fj32MKLHkut2Vod1UodcU,BIGHIT MUSIC,64,64,-1,2,78.0,G,Major,31,16,77,23,0,10,6,amygdala,agustd,Agust D 'AMYGDALA' Official MV,HYBE LABELS,2023-04-24 15:00:04+00:00,13486475,2126255,https://www.youtube.com/watch?v=IX1dkYoLHVs,HYBE LABELS,agustdamygdalaofficialmv
ANGOSTURA,56917,keshi,spotify:track:38umMmZQdeoOG7Zojor4g3,Island Records,171,171,-1,1,170.0,F#,Major,54,20,66,41,0,11,5,angostura,keshi,keshi - ANGOSTURA,KeshiVEVO,2022-03-25 04:00:12+00:00,6813576,88205,https://www.youtube.com/watch?v=SqFJEIT35k8,KeshiVEVO,keshiangostura
ANTIFRAGILE,4986420,LE SSERAFIM,spotify:track:4fsQ0K37TOXa3hEQfjEic1,SOURCE MUSIC,52,52,-1,29,105.0,A#,Minor,88,83,78,8,0,12,8,antifragile,lesserafim,LE SSERAFIM (르세라핌) 'ANTIFRAGILE' OFFICIAL M/V,HYBE LABELS,2022-10-16 14:58:08+00:00,244963583,3307725,https://www.youtube.com/watch?v=pyf8cbqyfPs,HYBE LABELS,lesserafimantifragileofficialmv
ASAP,1096066,NewJeans,spotify:track:5fpyAakgFOm4YTXkgfPzvV,ADOR,24,24,-1,4,130.0,C,Minor,93,37,49,47,0,10,16,asap,newjeans,NewJeans (뉴진스) 'ASAP' Official MV,HYBE LABELS,2023-07-25 15:00:02+00:00,31028404,936062,https://www.youtube.com/watch?v=dJdqn5v4Dkw,HYBE LABELS,newjeansasapofficialmv
AURA,41883,GOT7,spotify:track:7MthitzhOiulghCWPy3AhK,Republic Records - JYP Entertainment,180,180,-1,1,90.0,A,Minor,69,71,77,14,0,11,14,aura,got7,🚨4K🚨 GOT7(갓세븐) - AURA(아우라) | Blindfolded choreography | 딩고뮤직 | Dingo Music,딩고 뮤직 / dingo music,2020-04-26 10:00:29+00:00,5524283,183758,https://www.youtube.com/watch?v=ybvvQQf4k4c,딩고 뮤직 / dingo music,4kgot7aurablindfoldedchoreographydingomusic
About You,1871103,The 1975,spotify:track:1fDFHXcykq4iw8Gg7s5hG9,Dirty Hit,136,136,-1,18,96.0,D,Major,42,46,76,31,80,6,3,aboutyou,the1975,The 1975 - About You (Official),The1975VEVO,2022-10-14 07:00:19+00:00,58283976,371458,https://www.youtube.com/watch?v=tGv7CUutzqU,The1975VEVO,the1975aboutyouofficial
Abyss,2254054,Jin,spotify:track:40BomFCBuJok3OjxM9oG7e,BIGHIT MUSIC,63,63,-1,9,144.0,C,Major,43,35,51,54,0,16,3,abyss,jin,Abyss by Jin,BANGTANTV,2020-12-03 13:00:01+00:00,36299880,3277184,https://www.youtube.com/watch?v=aqtSOksH-NE,BANGTANTV,abyssbyjin
Adios,876415,EVERGLOW,spotify:track:5uHl2eYaITSX6xEX8bmaXy,"Genie Music Corporation, Stone Music Entertainment",57,57,-1,15,128.0,A#,Minor,63,40,71,0,8,24,6,adios,everglow,EVERGLOW (에버글로우) - Adios MV,Stone Music Entertainment,2019-08-19 09:01:23+00:00,177700128,2691100,https://www.youtube.com/watch?v=4gX_p1VkgA4,Stone Music Entertainment,everglowadiosmv
Adore You,1525752,Harry Styles,spotify:track:3jjujdWJ72nww5eGnfs2E7,Columbia,56,56,-1,24,99.0,G#,Major,68,57,77,2,0,10,5,adoreyou,harrystyles,Harry Styles - Adore You (Official Video),HarryStylesVEVO,2020-01-09 14:00:03+00:00,429795799,3927063,https://www.youtube.com/watch?v=VF-r5TtlT9w,HarryStylesVEVO,harrystylesadoreyouofficialvideo
After Hours,359593,The Weeknd,spotify:track:4ejyZ4uJEXUURcgKp1kP8v,Republic Records,88,88,-1,6,109.0,F,Minor,66,14,57,8,1,12,3,afterhours,theweeknd,The Weeknd - After Hours (Audio),The Weeknd,2020-02-19 05:00:26+00:00,231017961,1907729,https://www.youtube.com/watch?v=ygTZZpVkmKg,The Weeknd,theweekndafterhoursaudio
After LIKE,7812745,IVE,spotify:track:2gYj9lubBorOPIVWsTXugG,Starship Entertainment,6,6,-1,40,125.0,C,Major,68,80,92,10,0,9,12,afterlike,ive,IVE 아이브 'After LIKE' MV,STARSHIP,2022-08-22 09:00:04+00:00,305939247,2997022,https://www.youtube.com/watch?v=F0B7HDiY-10,STARSHIP,iveafterlikemv
After Midnight,49547,WayV,spotify:track:5OyBCIBDkTWUSvbFPFnKl0,LABEL V,178,178,-1,1,105.0,D,Minor,58,33,87,10,0,7,6,aftermidnight,wayv,After Midnight,WayV - Topic,2020-06-09 08:56:06+00:00,2039803,53217,https://www.youtube.com/watch?v=dWoVZP99jBY,WayV - Topic,aftermidnight
After School,825901,Weeekly,spotify:track:52CBUrIdyf8tbZaUY9iawE,PLAY M ENTERTAINMENT CORP.,85,85,-1,15,164.0,C#,Major,63,74,93,1,0,6,5,afterschool,weeekly,[MV] Weeekly(위클리) _ After School,1theK (원더케이),2021-03-17 09:00:04+00:00,172256505,2741775,https://www.youtube.com/watch?v=qfVuRQX0ydQ,1theK (원더케이),mvweeeklyafterschool
Afterglow,1414171,Ed Sheeran,spotify:track:0E4Y1XIbs8GrAT1YqVy6dq,Atlantic Records UK,26,26,-1,11,110.0,B,Major,64,27,32,70,0,33,3,afterglow,edsheeran,Ed Sheeran - Afterglow [Official Performance Video],Ed Sheeran,2020-12-21 11:00:28+00:00,127183010,1291074,https://www.youtube.com/watch?v=_NGQfFCFUn4,Ed Sheeran,edsheeranafterglowofficialperformancevideo
Afterthought,53452,"Joji, BENEE",spotify:track:1ggYjU6zdFHgANcku82boU,88rising Music,200,200,-1,1,84.0,C#,Major,61,19,55,40,8,9,4,afterthought,jojibenee,Joji & BENEE - Afterthought,Joji,2020-09-25 04:00:31+00:00,26888134,261890,https://www.youtube.com/watch?v=ujriV3vkC9w,Joji,jojibeneeafterthought
Agora Hills,6342760,Doja Cat,spotify:track:5PyDJG7SQRgWXefgexqIge,Kemosabe Records/RCA Records,46,46,-1,25,123.0,G#,Minor,75,39,67,23,0,12,10,agorahills,dojacat,Doja Cat - Agora Hills (Official Video),dojacatVEVO,2023-09-22 04:00:07+00:00,58991510,1105362,https://www.youtube.com/watch?v=0c66ksfigtU,dojacatVEVO,dojacatagorahillsofficialvideo
Ain't Shit,257204,Doja Cat,spotify:track:5lAnYvAIkSDNXqfo7DyFUm,Kemosabe Records/RCA Records,119,119,-1,5,124.0,D#,Major,86,62,49,51,0,35,21,aintshit,dojacat,Doja Cat - Ain't Shit (Official Live Performance) | Vevo,dojacatVEVO,2021-07-02 16:00:01+00:00,86526316,1394339,https://www.youtube.com/watch?v=13MvatpPQv4,dojacatVEVO,dojacataintshitofficialliveperformancevevo
Alcohol-Free,1502306,TWICE,spotify:track:3iPbmpKBMflYd7UjdYftoj,Republic Records - TWICE,10,10,-1,14,97.0,G#,Major,69,70,91,5,0,7,6,alcoholfree,twice,"TWICE ""Alcohol-Free"" M/V",JYP Entertainment,2021-06-09 08:58:12+00:00,307089670,4716098,https://www.youtube.com/watch?v=XA2YEHn-A8Q,JYP Entertainment,twicealcoholfreemv
All 4 Nothing (I'm So In Love),193056,Lauv,spotify:track:21AziTMaZwcLflGMAj85o5,Lauv,135,135,-1,3,132.0,C#,Major,72,90,82,4,0,6,4,all4nothingimsoinlove,lauv,Lauv - All 4 Nothing (I'm So In Love) [Official Video],Lauv,2022-04-08 04:00:10+00:00,20307917,228500,https://www.youtube.com/watch?v=AH8b7EynJ60,Lauv,lauvall4nothingimsoinloveofficialvideo
All About That Day,1999730,Nene鄭乃馨,spotify:track:2nR5g9ug01C4QFSAox8mYj,Sony Music Entertainment,51,51,-1,10,172.0,G,Major,58,18,74,23,0,7,5,allaboutthatday,nene,Nene郑乃馨《All About That Day》Official Music Video,Nene,2023-04-18 12:00:10+00:00,37525503,404263,https://www.youtube.com/watch?v=GOWPYJspc2U,Nene,neneallaboutthatdayofficialmusicvideo
All Day (with Tablo),153603,"RM, Tablo",spotify:track:40SuiVcQ5NyDk48nZSADK3,BIGHIT MUSIC,90,90,-1,1,115.0,G#,Major,76,55,69,10,0,28,12,alldaywithtablo,rmtablo,All Day (with Tablo),RM - Topic,2022-12-02 05:06:31+00:00,3859768,165253,https://www.youtube.com/watch?v=sE5YAXaIypo,RM - Topic,alldaywithtablo
All Eyes On Me,7048628,JISOO,spotify:track:2YXswOX5aKv6OHRKUcAMLQ,YG Entertainment,6,6,-1,29,110.0,G#,Minor,78,63,65,3,0,9,4,alleyesonme,jisoo,All Eyes On Me,JISOO - Topic,2023-03-31 04:01:50+00:00,35914889,665420,https://www.youtube.com/watch?v=NuxAOC6RU9c,JISOO - Topic,alleyesonme
All I Need To Hear,106561,The 1975,spotify:track:42Q00bTTgyQhPE2FVWaoJE,Dirty Hit,117,117,-1,1,137.0,B,Major,40,21,24,91,0,12,3,allineedtohear,the1975,The 1975 - All I Need To Hear,The 1975,2022-09-21 17:00:13+00:00,1769826,61048,https://www.youtube.com/watch?v=8YDyhUh2xrU,The 1975,the1975allineedtohear
